at 2024-11-17 00:07:33.836778 with bounding box (np.float64(153.41031979956583), np.float64(310.4635472835144), np.float64(253.03299539096264), np.float64(560.1580188171716))
Violation by ID 2 (photo_near) at 2024-11-17 00:07:33.845293 with bounding box (np.float64(153.41031979956583), np.float64(310.4635472835144), np.float64(253.03299539096264), np.float64(560.1580188171716))
Violation by ID 1 (Unknown) at 2024-11-17 00:07:45.479727 with bounding box (np.float64(301.55068042771336), np.float64(327.69864964283215), np.float64(411.05323949181474), np.float64(612.0089824575964))
Violation by ID 1 (photo_near) at 2024-11-17 00:07:45.487756 with bounding box (np.float64(301.55068042771336), np.float64(327.69864964283215), np.float64(411.05323949181474), np.float64(612.0089824575964))
Violation by ID 1 (Unknown) at 2024-11-17 00:08:46.607070 with bounding box (np.float64(323.4528745491754), np.float64(243.71842872057664), np.float64(454.32455723243976), np.float64(585.8960694521384))
Violation by ID 1 (photo_near) at 2024-11-17 00:08:46.614598 with bounding box (np.float64(323.4528745491754), np.float64(243.71842872057664), np.float64(454.32455723243976), np.float64(585.8960694521384))
Violation by ID 1 (21050051_Pham_Le_Hoang) at 2024-11-17 00:10:04.105809 with bounding box (np.float64(181.06142693444085), np.float64(76.66577078490832), np.float64(351.1848370805593), np.float64(628.4060609086876))
Violation by ID 1 (photo_near) at 2024-11-17 00:10:04.113320 with bounding box (np.float64(181.06142693444085), np.float64(76.66577078490832), np.float64(351.1848370805593), np.float64(628.4060609086876))
Violation by ID 1 (21050051_Pham_Le_Hoang) at 2024-11-17 00:10:06.276415 with bounding box (np.float64(161.63409163282967), np.float64(76.20028975881718), np.float64(333.5623755715605), np.float64(628.8564971949941))
Violation by ID 1 (photo_2s_later) at 2024-11-17 00:10:06.283432 with bounding box (np.float64(161.63409163282967), np.float64(76.20028975881718), np.float64(333.5623755715605), np.float64(628.8564971949941))
Violation by ID 2 (Unknown) at 2024-11-17 20:59:59.204183 with bounding box (np.float64(153.47410929504164), np.float64(310.4635305877155), np.float64(252.96916590394977), np.float64(560.1582454121199))
Violation by ID 2 (photo_near) at 2024-11-17 20:59:59.212131 with bounding box (np.float64(153.47410929504164), np.float64(310.4635305877155), np.float64(252.96916590394977), np.float64(560.1582454121199))
Violation by ID 2 (Unknown) at 2024-11-17 21:00:05.761633 with bounding box (np.float64(62.24711712580792), np.float64(332.44293981825643), np.float64(194.72270035787886), np.float64(572.7625336723361))
Violation by ID 2 (photo_near) at 2024-11-17 21:00:05.770655 with bounding box (np.float64(62.24711712580792), np.float64(332.44293981825643), np.float64(194.72270035787886), np.float64(572.7625336723361))
Violation by ID 1 (Unknown) at 2024-11-17 21:00:12.456492 with bounding box (np.float64(301.5543687198704), np.float64(327.6986273386583), np.float64(411.04964334077016), np.float64(612.0089181617094))
Violation by ID 1 (photo_near) at 2024-11-17 21:00:12.464500 with bounding box (np.float64(301.5543687198704), np.float64(327.6986273386583), np.float64(411.04964334077016), np.float64(612.0089181617094))
Violation by ID 2 (Unknown) at 2024-11-17 21:40:10.786907 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (photo_near) at 2024-11-17 21:40:10.800142 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (Unknown) at 2024-11-17 21:42:58.700401 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (photo_near) at 2024-11-17 21:42:58.707958 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (Unknown) at 2024-11-17 21:43:05.293826 with bounding box (62.24711712580792, 332.44293981825643, 194.72270035787886, 572.7625336723361)
Violation by ID 2 (photo_near) at 2024-11-17 21:43:05.301346 with bounding box (62.24711712580792, 332.44293981825643, 194.72270035787886, 572.7625336723361)
Violation by ID 1 (Unknown) at 2024-11-17 21:43:11.672472 with bounding box (301.5543687198704, 327.6986273386583, 411.04964334077016, 612.0089181617094)
Violation by ID 1 (photo_near) at 2024-11-17 21:43:11.681496 with bounding box (301.5543687198704, 327.6986273386583, 411.04964334077016, 612.0089181617094)
Violation by ID 2 (Unknown) at 2024-11-21 10:23:45.787374 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (photo_near) at 2024-11-21 10:23:45.802900 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (Unknown) at 2024-11-21 10:23:47.888403 with bounding box (168.9787508117579, 319.4352570562897, 284.94978032240715, 564.8603272357875)
Violation by ID 2 (photo_2s_later) at 2024-11-21 10:23:47.900821 with bounding box (168.9787508117579, 319.4352570562897, 284.94978032240715, 564.8603272357875)
Violation by ID 2 (Unknown) at 2024-11-21 10:23:56.968998 with bounding box (62.24711712580792, 332.44293981825643, 194.72270035787886, 572.7625336723361)
Violation by ID 2 (photo_near) at 2024-11-21 10:23:56.975997 with bounding box (62.24711712580792, 332.44293981825643, 194.72270035787886, 572.7625336723361)
Violation by ID 2 (Unknown) at 2024-11-21 10:24:05.893288 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (photo_near) at 2024-11-21 10:24:05.903813 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 1 (Unknown) at 2024-11-21 10:24:07.243570 with bounding box (301.5543687198704, 327.6986273386583, 411.04964334077016, 612.0089181617094)
Violation by ID 1 (photo_near) at 2024-11-21 10:24:07.255553 with bounding box (301.5543687198704, 327.6986273386583, 411.04964334077016, 612.0089181617094)
Violation by ID 2 (Unknown) at 2024-11-21 10:24:08.006645 with bounding box (173.48143430431588, 318.1812113218639, 291.9219902713028, 565.2469388448848)
Violation by ID 2 (photo_2s_later) at 2024-11-21 10:24:08.019513 with bounding box (173.48143430431588, 318.1812113218639, 291.9219902713028, 565.2469388448848)
Violation by ID 2 (Unknown) at 2024-11-21 10:24:16.070850 with bounding box (62.24711712580792, 332.44293981825643, 194.72270035787886, 572.7625336723361)
Violation by ID 2 (photo_near) at 2024-11-21 10:24:16.077857 with bounding box (62.24711712580792, 332.44293981825643, 194.72270035787886, 572.7625336723361)
Violation by ID 1 (Unknown) at 2024-11-21 10:24:23.231960 with bounding box (301.5543687198704, 327.6986273386583, 411.04964334077016, 612.0089181617094)
Violation by ID 1 (photo_near) at 2024-11-21 10:24:23.240293 with bounding box (301.5543687198704, 327.6986273386583, 411.04964334077016, 612.0089181617094)
Violation by ID 2 (Unknown) at 2024-11-21 10:26:45.797219 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (photo_near) at 2024-11-21 10:26:45.806252 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (Unknown) at 2024-11-21 10:26:47.980947 with bounding box (168.9787508117579, 319.4352570562897, 284.94978032240715, 564.8603272357875)
Violation by ID 2 (photo_2s_later) at 2024-11-21 10:26:47.992778 with bounding box (168.9787508117579, 319.4352570562897, 284.94978032240715, 564.8603272357875)
Violation by ID 2 (Unknown) at 2024-11-21 10:35:04.927122 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (photo_near) at 2024-11-21 10:35:04.929806 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (Unknown) at 2024-11-21 10:35:06.940078 with bounding box (173.48143430431588, 318.1812113218639, 291.9219902713028, 565.2469388448848)
Violation by ID 2 (photo_2s_later) at 2024-11-21 10:35:06.944045 with bounding box (173.48143430431588, 318.1812113218639, 291.9219902713028, 565.2469388448848)
Violation by ID 2 (Unknown) at 2024-11-21 10:35:15.063394 with bounding box (62.24711712580792, 332.44293981825643, 194.72270035787886, 572.7625336723361)
Violation by ID 2 (photo_near) at 2024-11-21 10:35:15.072126 with bounding box (62.24711712580792, 332.44293981825643, 194.72270035787886, 572.7625336723361)
Violation by ID 2 (Unknown) at 2024-11-21 10:35:22.334086 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (photo_near) at 2024-11-21 10:35:22.351825 with bounding box (153.47410929504164, 310.4635305877155, 252.96916590394977, 560.1582454121199)
Violation by ID 2 (Unknown) at 2024-11-21 10:35:24.333856 with bounding box (168.9787508117579, 319.4352570562897, 284.94978032240715, 564.8603272357875)
Violation by ID 2 (photo_2s_later) at 2024-11-21 10:35:24.339791 with bounding box (168.9787508117579, 319.4352570562897, 284.94978032240715, 564.8603272357875)
Violation by ID 1 (Unknown) at 2024-11-21 10:35:24.499988 with bounding box (301.5543687198704, 327.6986273386583, 411.04964334077016, 612.0089181617094)
